influence,creativity,threat,ict_index,was_home,xG,xA,xGC,fixture,form,total_points
37.4,0,0,3.7,1,0,0,3.56828,10,5.25,2
38.4,0,0,3.8,1,0,0,0.916344,1,3,11
0.8,0,0,0.1,0,0,0,0.983293,1,3.75,6
24.6,10,0,3.5,0,0,0.03332546,1.076,1,5.5,3
45.8,0,0,4.6,0,0,0,1.29018,8,3,4
49.8,0,0,5,0,0,0,4.14588,10,3.5,2
25.6,0,0,2.6,1,0,0,3.08244,4,1.75,2
18.4,0,0,1.8,0,0,0,0.589103,4,2,2
14.2,0,0,1.4,1,0,0,0.766224,2,8.5,2
27.4,0,0,2.7,1,0,0,2.25889,5,4,2
46.4,0,0,4.6,0,0,0,2.01756,7,3.5,9
11.6,0,0,1.2,0,0,0,1.49029,3,5.25,6
9.2,0,0,0.9,0,0,0,1.56465,6,6,1
19.2,0,0,1.9,1,0,0,1.09381,3,2.75,2
23.8,0,0,2.4,0,0,0,0.159735,7,3.75,6
40.8,0,0,4.1,1,0,0,2.0544,1,2.25,4
22.4,0,0,2.2,0,0,0,1.73805,2,2.5,3
44.8,0,0,4.5,1,0,0,1.84971,8,5.75,9
24.2,0,0,2.4,1,0,0,2.15281,10,4,2
