ID,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
6893,0.16943025,0.039528695,1.7375265,8.65,12.025,17.25,3.8,9,0,1.5,1,no
6895,0.023764577,0.106268294,1.2446925,3.45,12.025,5.75,2.125,3,1,1,1,no
6902,0.265865418,0.360452138,1.4721105,22.05,38.2,29.75,9,9,0,4.75,1,no
6905,0.008539506,0.027359933,1.050579,7.95,11.975,4.25,2.425,8,0,1.75,1,no
6906,0.066639883,0.015346532,2.0065075,7,13.85,7.5,2.825,6,0,2,1,no
6908,0.038379867,0.047842892,1.9748175,4.5,11.9,4.5,2.075,6,0,2.75,1,no
6909,0.137525868,0,1.3086565,1.55,1.25,9.5,1.125,3,1,1,1,no
6918,0.005385225,0.016650051,1.3621095,18.45,16.6,0.75,3.575,8,0,2.75,1,no
6923,0.015689954,0.04947079,0.88327875,13.15,14.025,2,2.925,3,1,2.5,1,no
6933,0.08505209,0.179172588,1.94452925,10.5,14.625,25.25,5.05,9,0,2.75,1,no
6939,0.155084541,0.114143087,0.649394,12.6,14.875,21,4.825,1,1,2,1,no
6942,0.128342836,0.2950407,2.2592025,16.95,20.05,18,5.5,8,1,3.25,1,no
6948,0,0.010144643,1.6817885,1.95,4.025,0,0.6,2,0,1,1,no
6950,0.016867048,0.03285509,2.0305555,16.55,11.775,2.75,3.1,8,1,1.75,1,no
6954,0.012959788,0.067863822,1.73715225,4.35,4.675,4.75,1.375,3,0,1.25,1,no
6967,0.28692168,0.08833909,1.040972675,15.55,7.025,5.5,2.825,4,0,3.5,1,no
6969,0.162512727,0.039528695,2.38175175,6.6,10.9,13.75,3.125,10,1,1.25,1,no
6978,0.122843593,0.006100917,1.22586925,2.4,6.375,10.25,1.9,5,1,1.25,1,no
6981,0.397916436,0.168480204,1.364817,19.75,23.825,37.5,8.1,10,0,4,1,no
6983,0.053594605,0.068971133,1.24173425,16.95,15,10,4.2,5,1,2,1,no
6986,0.032662014,0,1.99202025,12.05,0.675,9,2.2,7,0,2,1,no
6987,0.00455809,0.014974711,1.69771275,7.75,7.075,1.25,1.625,3,0,1.5,1,no
6990,0.101205945,0.027132727,2.2592025,2.55,13.475,18.5,3.45,8,1,1.75,1,no
6991,0.035280902,0.049530324,0.9227995,5,10.075,10.5,2.55,9,1,1,1,no
6998,0.039054989,0.040907903,1.6821625,8.85,10.275,20.75,3.975,7,0,2,1,no
7006,0.006046924,0.020542314,2.3317635,11.5,7.175,2.75,2.15,8,1,1.5,1,no
7009,0.189807724,0.029710365,0.716224425,14.4,10.625,12.25,3.725,3,1,2.75,1,no
7019,0.161283288,0.228184287,1.32796175,13.55,18.075,18,5,1,0,2.5,1,no
7020,0.13650393,0.052077817,1.364817,8.5,13.05,14.25,3.55,3,1,1.75,1,no
7029,0.040914028,0.282369811,0.7985215,29.25,33.825,15.5,7.85,4,1,5.5,1,no
7031,0,0,2.11742,2.55,0.275,0.5,0.35,2,1,1,1,no
7033,0.098613623,0.044850497,0.9867385,8.85,16.8,23,4.85,8,0,1.75,1,no
7035,0,0.008134269,1.574245,9.65,9.2,0,1.9,2,1,1.75,1,no
7037,0,0,1.973015,1.1,0.55,2,0.4,9,0,1,1,no
7047,0.030877206,0.106268294,1.3998025,5.5,12.475,5.75,2.375,2,1,1,1,no
7053,0.102012601,0,1.44778425,3.85,2.5,5,1.15,1,0,1.25,1,no
7056,0.01204012,0.051803491,1.496755,5.1,14.3,4,2.3,5,1,1,1,no
7058,0.130979205,0,1.3998025,0.85,1.175,7.25,0.825,2,1,1,1,no
7075,0.048737145,0.144637577,1.7597875,4.8,9.25,14,2.8,1,1,1.75,1,no
7076,0.158257496,0.043122055,2.0305555,10.5,13.375,19.75,4.35,10,0,2,1,no
7080,0.273498509,0.376389181,1.356197,28.75,39.975,37,10.575,3,1,5.75,1,no
7084,0.100746039,0.150859348,1.85852,13.55,17.45,21.75,5.275,8,0,2.25,1,no
7088,0.070504704,0.201610705,1.2980575,16.45,31.85,16.25,6.475,8,1,3.75,1,no
7089,0.008835443,0.218943639,2.080745,15.5,21.375,8.25,4.525,2,1,3,1,no
7090,0.356268898,0.018996252,0.85970375,12.85,9.725,26.75,4.925,1,1,3.5,1,no
7093,0.025519912,0.005041113,1.327292,3.2,5.175,4,1.225,2,1,0.75,1,no
7096,0.118250252,0.206623495,1.851625,18.9,17.5,16,5.225,9,0,3.75,1,no
7100,0.005326478,0.067863822,0.99616125,3.4,4.5,4.5,1.225,1,1,1,1,no
7101,0.403476559,0.111225436,0.931371,11.25,27.275,51.25,9,3,1,2,1,no
7104,0,0,1.5746025,3.3,0.225,0.5,0.425,9,0,1,1,no
7107,0.012245542,0.00450119,1.685234,8.05,3.6,5.75,1.725,1,1,1.5,1,no
7109,0,0.008134269,1.181575,7.25,8.35,0,1.575,9,0,1.75,1,no
7123,0,0.270060282,1.028329,18.7,17.475,1.5,3.775,5,1,3.25,1,no
7126,0.14904508,0.345802774,2.2463905,18.45,27.2,15.25,6.1,7,0,4.5,1,no
7133,0.041264001,0.121418746,1.077547,26.55,20.575,8.75,5.575,2,1,3.25,1,no
7135,0.204013786,0.214879677,1.89059625,10.1,3.65,10.25,2.425,1,1,2.25,1,no
7138,0.014468654,0,2.995655,17.55,3.05,5,2.55,1,1,2,1,no
7139,0.054885656,0.049530324,0.827843,5.65,10.525,13,2.925,6,0,1,1,no
7145,0.063796367,0.068170399,1.16269875,9.05,21.575,19.75,5.025,4,0,2.5,1,no
7149,0.114826761,0,1.259411,20.15,2.85,26,4.925,10,0,4,1,no
7161,0.152726759,0.449843504,0.88320275,22.1,49.75,32.25,10.425,9,1,3.5,1,no
7168,0.013354289,0.073212975,1.6407965,17.7,17.575,8,4.35,3,0,1.5,1,no
7169,0.004724706,0.215912959,2.15818,14.35,31,3.25,4.875,7,1,2.5,1,no
7171,0.02222902,0.028464278,1.47414325,13.9,12.225,4.25,3.025,1,0,2,1,no
7173,0.131754564,0.141851097,0.85437425,10.7,8,8.5,2.725,2,0,2.5,1,no
7175,0.106353272,0.225756043,1.006602,20.7,30.125,27.75,7.875,9,1,2.75,1,no
7176,0.077865981,0.166582121,2.35093,21.6,21.225,9.5,5.225,8,1,2.75,1,no
7182,0,0,1.723099,2.9,0.55,0,0.35,6,1,1,1,no
7186,0.052927494,0,0.983772,2.15,1.3,8.25,1.15,5,0,1,1,no
7187,0.32122964,0.324209154,0.9231205,32.8,35.1,36,10.4,9,1,5.5,1,no
7188,0.104255768,0.012431297,1.725995,4.05,8.675,17.5,3.025,3,0,1.25,1,no
7194,0.009510581,0,1.5252945,0.9,1.15,1.5,0.325,1,0,1,1,no
7202,0.271239344,0.111247186,0.7989095,6.3,14.725,32,5.275,2,0,2.75,1,no
7217,0.01204012,0.030187755,1.5026475,4.5,11.7,4,2,2,0,1,1,no
7223,0.043806345,0,1.78140975,20.2,1.275,12.75,3.425,1,0,4.5,1,no
7226,0.014726231,0,1.538284,1,0.5,1.75,0.325,1,0,0.5,1,no
7229,0.042940708,0,1.93082,6.85,1.475,18.25,2.675,9,0,2.25,1,no
7233,0.095486477,0.056173608,1.203999,7.1,9.025,20.75,3.7,3,1,1.5,1,no
7234,0.264798759,0.472269482,1.324853,39.2,27.375,40.75,10.725,7,0,7.5,1,no
7235,0.075971857,0.12363285,1.274428,9.1,10.95,23.75,4.4,3,1,1.5,1,no
7236,0.044124408,0.117292732,0.796797,8.1,6.325,14.5,2.875,1,1,2,1,no
7238,0.095887615,0.034691128,2.396925,4.55,8.4,11.25,2.4,5,0,1,1,no
7245,0.037537668,0,2.37396425,10.9,3.725,9.75,2.45,4,0,1.25,1,no
7247,0.145467877,0,0.694153,27.9,1.825,9.75,3.95,8,1,4.25,1,no
7254,0.219354899,0.135319076,1.36750575,15.85,49.625,21.25,8.7,10,1,3.75,1,no
7257,0.111538641,0.089904852,1.61044225,13.75,21.9,9.5,4.5,4,0,2,1,no
7261,0.17357619,0.011826647,0.88157725,13.35,6.3,23.75,4.35,1,1,3.75,1,no
7262,0.062343493,0,1.124902,2.75,1.375,13.75,1.75,2,1,1,1,no
7263,0.018308992,0,2.85971,5.7,2.65,2.75,1.1,3,1,2.5,1,no
7271,0.029741494,0.070812381,1.5925505,20.5,19.975,6,4.675,3,1,2.5,1,no
7275,0.014726231,0,1.546079,1.05,0.575,1.75,0.35,3,1,0.5,1,no
7276,0.17448598,0.063577808,0.75988175,4.55,18.7,15,3.775,5,1,2,1,no
7278,0.016263161,0.10112969,0.66157225,8.05,7.225,8.5,2.4,1,1,2.5,1,no
7280,0,0.063598827,1.7831,3.1,5.15,1,0.95,2,1,1,1,no
7288,0.494887523,0.099994496,0.86892725,5.2,10.3,35.5,5.075,1,1,2.25,1,no
7291,0.203940809,0.32753212,1.08654675,29.45,29.75,37.75,9.7,7,0,5,1,no
7292,0,0,2.68181425,14.5,2,0.5,1.7,3,1,1.75,1,no
7294,0.093496799,0.056861678,1.28405775,21.75,11.2,13,4.575,1,1,3.5,1,no
7296,0.153727179,0.140340302,1.10174575,12.45,15.45,18.25,4.65,10,1,2.5,1,no
7299,0.009510581,0,1.531912,2,1.225,1.5,0.45,3,1,1,1,no
7306,0.025455915,0.024195645,0.62063025,7.7,6.9,8.5,2.3,8,1,1.75,1,no
7307,0.03418659,0.10112969,0.83825875,9.65,7.925,12,2.975,10,0,2.5,1,no
7318,0.004360212,0.0039207,1.367701,6.6,8.625,1.75,1.7,3,0,1.5,1,no
7323,0.162086517,0.033039398,0.6366675,2.85,12.95,13.5,2.9,1,0,1.75,1,no
7324,0.10638376,0.016966343,1.88388,5.45,8.65,12.75,2.675,5,1,1.25,1,no
7325,0.003983024,0.129834891,1.6743185,3.9,8.1,3.75,1.55,10,0,1,1,no
7326,0.03044219,0.215779463,1.849515,7.7,17.7,7,3.25,7,1,2,1,no
7329,0.115194824,0.009793905,1.59210575,10.25,7.275,7.25,2.45,2,0,2.75,1,no
7330,0.03786164,0.012693887,0.812571,11,3.825,7.5,2.225,1,0,3,1,no
7331,0.49078752,0.28580837,1.06355475,47.3,21.975,36,10.55,9,1,9.5,1,no
7332,0.218122477,0.03421599,2.864795,11.5,17.95,13.5,4.275,5,1,2,1,no
7333,0.373853207,0.074945107,1.06355475,20.6,5.075,17,4.275,9,1,4.5,1,no
7337,0.029078779,0.093190216,1.6496135,12.3,12.85,7.75,3.275,4,1,2.75,1,no
7346,0.081652895,0.307769584,1.06148475,20.55,37.925,10,6.85,1,0,3.75,1,no
7347,0,0,1.81250925,12.6,2.375,0.5,1.55,2,0,1.5,1,no
7351,0.03879793,0.147765666,0.84748225,10.45,12,10,3.225,10,0,2,1,no
7354,0.056359955,0.075669678,0.96377075,19.35,16.55,11.75,4.775,10,0,2.5,1,no
7355,0.137061784,0.131076418,1.046791,21.7,29.325,25,7.6,1,0,3.5,1,no
7358,0,0.042399218,1.512926667,2.066666667,3.433333333,0.666666667,0.633333333,3,0,1,1,no
7360,0.002303054,0.178541768,2.561635,21.55,26.075,5.25,5.3,5,1,2.5,1,no
7365,0,0.008134269,1.33906975,5.25,5.175,0,1.075,3,1,1.5,1,no
7367,0.370363747,0.055487781,1.45642225,10.75,12.925,24.75,4.825,10,1,3.25,1,no
7368,0.012089827,0.006171786,1.46021325,5.35,5.325,5.5,1.625,8,0,1.5,1,no
7373,0,0,2.04546725,4.55,0.975,0.5,0.625,3,1,1,1,no
7374,0.073827115,0.078474382,2.2592025,6.5,12.425,8.25,2.725,4,0,1.5,1,no
7376,0,0,1.4625375,1.85,0.275,1,0.325,3,1,1,1,no
7379,0.099352914,0.013813076,1.5819315,6.05,11.175,12.25,2.9,8,0,2.25,1,no
7387,0.031552431,0.034197599,1.5090995,6.1,3.9,10,2,6,1,2,1,no
7390,0.072505957,0.168566825,1.6079775,25,31.975,17,7.4,5,0,4.5,1,no
7393,0.041191503,0.04081121,1.05959,17.05,12.975,6.25,3.625,2,0,2.25,1,no
7394,0.012245542,0.00450119,1.59648575,8.4,3.55,5.25,1.725,10,1,1.5,1,no
7396,0.224703396,0.052764112,1.15792125,24,10.8,37.5,7.25,7,1,4.5,1,no
7398,0.004399801,0.008771958,2.1249275,4.65,6.2,3,1.375,9,0,2,1,no
7399,0.003983024,0.129834891,1.6349985,4.75,7.975,3.75,1.675,10,1,1,1,no
7404,0.373853207,0.098318789,1.2716275,22.5,8.525,17.5,4.85,3,1,4.5,1,no
7409,0.062969726,0.074818367,1.8840885,19.35,17.6,13.75,5.075,4,0,4.25,1,no
7411,0.036101673,0,1.92167475,2.95,0.65,3.5,0.725,3,1,0.5,1,no
7414,0.006077826,0,1.931356667,0.733333333,0.366666667,1.666666667,0.3,1,1,1,1,no
7415,0.529785983,0.058038699,1.3069725,7.85,17,60.25,8.525,5,1,2.25,1,no
7416,0,0.025296965,2.758235,13.4,9.5,0.5,2.35,1,1,1.5,1,no
7417,0.230389174,0.024629626,1.09605425,16.25,14.175,44,7.45,5,1,3.25,1,no
7419,0.583292052,0.065896921,1.54915325,6.35,6.55,34.5,4.725,10,1,2.5,1,no
7424,0.054343162,0.103644331,1.012876,5.35,17.6,24.5,4.75,6,1,1.75,1,no
7426,0,0,1.20244275,7,1.775,0.5,0.925,9,0,1.25,1,no
7430,0.189807724,0.029710365,1.041402,14.7,11.05,13.75,3.975,8,0,3,1,no
