,season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
89,2016-17,Joshua King,FWD,,0,0,5,0,13.5,48,9,3,0,5,4.2,2016-08-14T12:30:00Z,90,11,Manchester United,0,0,0,0,1,0,21974,3,1,32,2,0,0,0,55,TRUE,0,1
90,2016-17,Juan Mata,MID,,0,0,32,0,16.5,256,9,1,1,11,43,2016-08-14T12:30:00Z,74,2,Bournemouth,0,0,0,0,1,0,53176,3,1,50,7,0,0,0,75,FALSE,0,1
91,2016-17,Kasper Schmeichel,GK,,0,0,14,0,0,165,4,2,0,2.5,24.6,2016-08-13T11:30:00Z,90,7,Hull,0,0,0,0,1,3,448030,1,2,0,2,0,0,0,50,FALSE,0,1
92,2016-17,Kelechi Iheanacho,FWD,,0,0,0,0,0.3,241,5,0,0,3.1,2.4,2016-08-13T16:30:00Z,11,15,Sunderland,0,0,0,0,1,0,62986,1,2,28,1,0,0,0,70,TRUE,0,1
93,2016-17,Kevin De Bruyne,MID,,0,0,6,0,25.9,235,5,1,0,5.2,3.2,2016-08-13T16:30:00Z,90,15,Sunderland,0,0,0,0,1,0,176498,1,2,23,2,0,0,0,105,TRUE,0,1
94,2016-17,Kieran Gibbs,DEF,,0,0,0,0,0,7,8,0,0,0,0,2016-08-14T15:00:00Z,0,9,Liverpool,0,0,0,0,1,0,22607,4,3,0,0,0,0,0,50,TRUE,0,1
95,2016-17,Kurt Zouma,DEF,,0,0,0,0,0,79,10,0,0,0,0,2016-08-15T19:00:00Z,0,20,West Ham,0,0,0,0,1,0,8942,1,2,0,0,0,0,0,55,TRUE,0,1
96,2016-17,Kyle Walker,DEF,,1,1,25,0,41.8,384,3,1,0,8.8,38.4,2016-08-13T14:00:00Z,90,6,Everton,0,0,0,0,1,0,543814,1,1,8,6,0,0,0,55,FALSE,0,1
97,2016-17,Lukasz Fabianski,GK,,0,1,30,1,0,356,1,0,0,1.9,19.4,2016-08-13T14:00:00Z,90,3,Burnley,0,0,0,0,1,3,54385,1,0,0,8,0,0,0,50,FALSE,0,1
98,2016-17,Luke Shaw,DEF,,0,0,14,0,2,247,9,1,0,1.8,15.6,2016-08-14T12:30:00Z,90,2,Bournemouth,0,0,0,0,1,0,602039,3,1,0,2,0,0,0,55,FALSE,0,1
99,2016-17,Lys Mousset,FWD,,0,0,0,0,0,53,9,0,0,0,0,2016-08-14T12:30:00Z,0,11,Manchester United,0,0,0,0,1,0,2498,3,1,0,0,0,0,0,55,TRUE,0,1
100,2016-17,Mamadou Sakho,DEF,,0,0,0,0,0,190,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,3971,4,3,0,0,0,0,0,50,FALSE,0,1
