influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
73.4,7.9,37,11.8,FALSE,0.166252956,0,0.403743,7,5.75,15
15,1,17,3.3,FALSE,0.101078317,0,0.954864,3,1.5,5
9,27.8,18,5.5,TRUE,0.049831767,0.045475453,0.389104,4,2.5,2
13.2,31,3,4.7,TRUE,0.047778182,0.028237287,0.687502,6,2,3
16.6,51.3,30,9.8,TRUE,0.201718852,0.365045846,3.40585,5,4.75,2
18,15,32,6.5,TRUE,0.104360826,0.098262355,3.40585,5,0.75,2
8.6,19.8,35,6.3,FALSE,0.144578055,0.310288727,1.71303,10,3,1
44,33.8,18,9.6,TRUE,0.096210361,0.108473644,0.389104,4,2.5,5
28.2,34.3,0,6.3,TRUE,0,0.192627713,1.61035,10,2.5,5
0,14.5,4,1.8,TRUE,0.031001884,0.082100183,0.698814,1,3,2
10.2,3.3,2,1.6,TRUE,0.109240197,0,0.389104,4,3,2
7.2,64.9,24,9.6,FALSE,0.134888515,0.331911057,0.350069,2,4.25,3
17,34.8,6,5.8,TRUE,0,0.092582174,1.25512,7,1.75,2
8.6,13.3,20,4.2,FALSE,0.110140137,0.064023271,0.954864,3,5,2
6.8,2.8,2,1.2,FALSE,0,0,1.97881,8,4.5,2
38,102.5,26,16.7,TRUE,0.066539623,0.418788165,0.687502,6,6.25,6
11.8,15.8,4,3.2,TRUE,0,0.058290679,0.650942,6,1.5,3
8.8,11.4,0,2,TRUE,0,0.026909525,1.61035,10,1.5,2
40.8,40.5,71,15.2,TRUE,0.531478167,0.475989997,0.488541,1,4.75,7
0.2,22.5,21,4.4,FALSE,0.176011205,0.033084739,0.350069,2,4,9
7.4,31.9,17,5.6,TRUE,0.067176685,0.101249613,2.22237,9,4,2
9,31.8,34,7.5,TRUE,0.20570159,0.134673208,0.389104,4,8,2
8.6,11.5,12,3.2,FALSE,0.044425413,0.015766514,0.959496,2,5.75,1
3.6,5.3,18,2.7,TRUE,0.065175623,0,3.06509,10,0,2
11,13.3,10,3.4,FALSE,0.045078881,0.017583214,2.53996,8,3.25,2
25.8,40.3,0,6.6,TRUE,0,0.119867422,0.352445,9,9.5,6
40.4,3.2,22,6.6,TRUE,0.075039655,0,0.352445,9,2.5,11
21,19.5,34,7.5,TRUE,0.083931014,0.026153486,0.221469,4,2.25,3
11.2,32.2,34,7.7,TRUE,0.092929535,0.171461165,2.43608,6,4.75,2
5.2,24.7,35,6.5,FALSE,0.595923126,0.043197397,1.26331,2,2.25,2
13.8,36.9,6,5.7,FALSE,0,0.183289483,0.515218,3,3,3
20.2,9.4,2,3.2,TRUE,0,0,0.352445,9,3.25,3
9.4,16.3,14,4,FALSE,0.031517919,0.027234362,0.256825,9,4.5,2
36.6,41,6,8.4,TRUE,0,0.460175604,1.58333,5,1.75,7
60.2,33.6,21,11.5,FALSE,0.154836327,0.438881308,0.371668,7,2.75,13
15.4,4.7,2,2.2,TRUE,0,0,0.6675,6,1.5,2
50,61.3,53,16.4,TRUE,0.434187144,0.291780382,0.64492,1,6,10
4.2,12.7,24,4.1,FALSE,0.071301684,0.047665283,0.256825,9,6.25,2
10.8,36.3,8,5.5,TRUE,0.0459539,0.148658499,0.6675,6,3.5,1
13.6,6.8,10,3,FALSE,0.048726883,0,1.67138,8,5.25,2
10,15.8,1,2.7,FALSE,0.019441787,0.043193661,1.4645,1,3.5,2
18,44.3,11,7.3,FALSE,0.026677972,0.149631143,2.25623,10,2.75,1
4.6,6.7,21,3.2,TRUE,0.137111977,0.009250131,0.39341,6,3.25,3
14.4,76.8,8,9.9,TRUE,0.052740827,0.521089911,0.357943,4,0,3
13.6,42.3,8,6.4,FALSE,0.081868649,0.048587274,0.197536,3,4.75,2
14.8,46.1,39,10,TRUE,0.185430557,0.082174242,2.18655,2,2,2
28.6,17.8,3,4.9,TRUE,0.014991769,0.122818209,2.18655,2,1,2
35.6,0.1,17,5.3,FALSE,0,0,1.14134,3,2,3
25.8,46.1,0,7.2,FALSE,0,0.114279084,0.197536,3,2.75,1
13.8,38.7,2,5.5,TRUE,0,0.424422145,0.39341,6,4.75,3
6.8,30.2,10,4.7,FALSE,0.034974162,0.077097125,1.36553,8,1.5,2
20.8,30.8,30,8.2,TRUE,0.25168398,0.037200097,0.613233,7,8,3
21.8,35.5,0,5.7,FALSE,0,0.0330032,1.36553,8,1,2
21.8,13.9,46,8.2,FALSE,0.115233563,0.403599083,1.31066,4,6.5,4
18,30.5,26,7.5,TRUE,0.191554591,0.049662046,0.521509,8,2,3
13.6,59.5,20,9.3,FALSE,0.10066922,0.36443001,1.14134,3,4,3
23.4,30.5,43,9.7,FALSE,0.738850236,0.169035494,2.01885,6,4.75,5
20.6,15.3,48,8.4,FALSE,0.208965167,0.085115157,0.553693,5,2.25,3
15.2,23.4,6,4.5,FALSE,0,0.137199566,2.25623,10,1.75,1
15,39.3,35,8.9,FALSE,0.09036123,0.407190084,1.91057,1,5,1
26.8,35.8,0,6.3,FALSE,0,0.096734695,1.55859,6,2.75,5
24.4,16.8,3,4.4,FALSE,0.012924945,0.100384176,0.883566,6,2.25,2
15.8,54.8,0,7.1,FALSE,0,0.320780128,2.34997,7,1.5,1
1.2,4.1,1,0.6,FALSE,0.015083856,0,0.617412,9,1.25,1
9.6,33,28,7.1,TRUE,0.069441885,0.165798664,0.642111,3,4,2
45.4,31.9,29,10.6,TRUE,0.107128635,0.449761063,0.992341,2,4.75,9
7.6,6,39,5.3,FALSE,0.227977917,0,2.34997,7,1.25,2
13.4,5.5,5,2.4,FALSE,0.136248261,0,2.34997,7,1.25,2
10.4,23.1,14,4.8,FALSE,0.08242505,0.033952352,0.799911,5,5.75,3
