name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Mathias Normann,MID,0.007867171,0.136037365,2.26946,13.95,9.825,1.5,2.525,8,0,2.75,?
Jonathan Rowe,MID,0.029408762,0.042634465,2.26946,0.85,0.275,5.25,0.65,8,0,0.75,?
Theo Walcott,MID,0.023683554,0,2.00251575,0,0,0,0,8,1,0,?
Theo Walcott,MID,0.023683554,0,2.00251575,0,0,0,0,1,0,0,?
Oriol Romeu Vidal,MID,0.0047902,0.198077727,2.00251575,8.45,13.9,2.25,2.425,8,1,1.5,?
Oriol Romeu Vidal,MID,0.0047902,0.198077727,2.00251575,8.45,13.9,2.25,2.425,1,0,1.5,?
Nathan Redmond,MID,0.010063498,0.071300516,2.00251575,1.8,3.75,2.25,0.775,8,1,0.25,?
Nathan Redmond,MID,0.010063498,0.071300516,2.00251575,1.8,3.75,2.25,0.775,1,0,0.25,?
Stuart Armstrong,MID,0.189927847,0.052509506,2.00251575,22,17.225,21.25,6.075,8,1,3.25,?
Stuart Armstrong,MID,0.189927847,0.052509506,2.00251575,22,17.225,21.25,6.075,1,0,3.25,?
James Ward-Prowse,MID,0.044915669,0.139234898,2.00251575,20.95,46.825,4.5,7.25,8,1,4,?
James Ward-Prowse,MID,0.044915669,0.139234898,2.00251575,20.95,46.825,4.5,7.25,1,0,4,?
Nathan Tella,MID,0.031558607,0,2.00251575,0,0.075,0,0,8,1,0.25,?
Nathan Tella,MID,0.031558607,0,2.00251575,0,0.075,0,0,1,0,0.25,?
William Smallbone,MID,0.022235987,0.016984098,2.00251575,0.95,0.375,0,0.125,8,1,0.5,?
William Smallbone,MID,0.022235987,0.016984098,2.00251575,0.95,0.375,0,0.125,1,0,0.5,?
Ibrahima Diallo,MID,0.004462858,0.011409176,2.00251575,3.95,1.675,2.75,0.825,8,1,0.75,?
Ibrahima Diallo,MID,0.004462858,0.011409176,2.00251575,3.95,1.675,2.75,0.825,1,0,0.75,?
Moussa Djenepo,MID,0.004579653,0.005338459,2.00251575,0.1,0.2,1,0.125,8,1,0.25,?
Moussa Djenepo,MID,0.004579653,0.005338459,2.00251575,0.1,0.2,1,0.125,1,0,0.25,?
Mohamed Elyounoussi,MID,0.386727799,0.01211869,2.00251575,17.6,7.175,46,7.075,8,1,4,?
Mohamed Elyounoussi,MID,0.386727799,0.01211869,2.00251575,17.6,7.175,46,7.075,1,0,4,?
Heung-Min Son,MID,0.624801155,0.334152248,0.9279865,61.35,29.3,41.75,13.25,6,1,12.75,?
Lucas Rodrigues Moura da Silva,MID,0,0.087704189,0.9279865,6.7,3.15,0.5,1.025,6,1,1.75,?
Pierre-Emile Højbjerg,MID,0.053836446,0.155352725,0.9279865,15.6,15.775,10,4.15,6,1,2.25,?
Harry Winks,MID,0.004270417,0.004730663,0.9279865,0.8,0.25,0.25,0.125,6,1,0.25,?
Steven Bergwijn,MID,0.107798316,0.020531496,0.9279865,8.85,3,6.25,1.8,6,1,2.25,?
