avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0,0,1.4648785,28.15,0,0,2.825,9,1,2.5,1,no
0,0,0.772014,13.65,0.25,0,1.4,8,0,4.25,1,no
0,0,0.839529,12.85,0.25,0,1.325,9,1,4,1,no
0,0,2.2357925,31.9,0,0,3.2,7,0,5.25,1,no
0,0,1.25054275,13.95,0,0,1.375,7,0,2.75,1,no
0,0,2.096535,33.4,0,0,3.325,4,1,2.5,1,no
0,0,2.3139825,37.25,0,0,3.725,3,0,6.25,1,no
0,0,2.25813,28.2,0,0,2.8,10,0,2.25,1,no
0,0,1.049094,24.3,0,0,2.4,8,1,5,1,no
0,0,0.843521,27.2,0,0,2.725,5,0,6.25,1,no
0,0,0.96076025,21.25,0,0,2.125,2,1,5,1,no
0,0,0.739956,26.55,0,0,2.65,8,0,7.5,1,no
0,0,1.22110025,14.95,0,0,1.5,10,0,3.5,1,no
0,0,1.65462225,22.65,0,0,2.25,9,0,4.5,1,no
0,0,1.39028925,16.15,1,0,1.7,10,0,3,1,no
0,0,2.4302125,26,0,0,2.575,8,1,1.75,1,no
0.004639436,0.042801846,1.37919925,18.55,2.5,0.5,2.15,8,0,3,1,no
0,0,1.544271,23.7,0,0,2.375,5,0,3.75,1,no
0.004639436,0.042801846,1.27694975,19.25,2.5,0.5,2.2,9,1,3,1,no
0,0,1.454158,31.9,0,0,3.2,3,1,6.5,1,no
0,0,1.10549975,25.25,0,0,2.5,4,1,4.75,1,no
0,0,1.526151,23.4,0,0,2.35,1,1,3.75,1,no
0,0,0.9037565,17.8,0,0,1.775,7,0,3.5,1,no
0,0,1.5302255,29.95,0,0,3,8,0,4.5,1,no
0,0,1.45254,24.4,0,0,2.4,5,1,1,1,no
0,0,1.04805075,20,0,0,2,1,0,1.75,1,no
0,0,0.761504,20.8,0,0,2.1,3,1,3.25,1,no
0,0,1.04603725,17.5,0,0,1.775,9,0,4.25,1,no
0,0,1.35174475,17.95,0,0,1.775,8,1,2.25,1,no
0,0,1.786565,23.55,0,0,2.35,3,1,3.75,1,no
0,0,1.7442725,16.65,0,0,1.675,2,0,1.5,1,no
0,0.010549331,1.9064325,16.65,2.5,0,1.925,8,1,3,1,no
0,0,1.2354165,33.7,0,0,3.375,2,0,5,1,no
0,0.010549331,1.887045,18.9,2.5,0,2.15,4,0,3,1,no
0,0.005443405,1.21130625,20.9,2.5,0,2.35,10,1,2,1,no
0,0,1.21500425,37.5,0,0,3.775,9,1,3.75,1,no
0,0,1.625121,20.7,0,0,2.075,3,0,3.25,1,no
0,0,1.26937875,23.05,0,0,2.3,7,0,5.25,1,no
0,0,2.1508225,32.05,0,0,3.2,8,1,2.75,1,no
0,0,0.97828525,20.25,0,0,2.05,6,0,3.25,1,no
0,0,1.070166,18.8,0,0,1.9,6,0,3.75,1,no
0,0,2.170722,43.75,0,0,4.375,10,0,5.75,1,no
0,0,0.64955825,11.35,0,0,1.15,6,1,3.5,1,no
0,0,0.96410975,15.6,0,0,1.575,8,0,3.25,1,no
0,0,1.32241375,29,0,0,2.9,10,1,4.5,1,no
0,0,1.48842,28,0,0,2.8,8,0,5,1,no
0,0,1.7140425,25.95,0,0,2.6,3,1,2.25,1,no
0,0,2.14351,34.2,0,0,3.425,8,1,3.5,1,no
0,0,1.5575685,18.7,0,0,1.875,4,0,2,1,no
0,0,1.260623,16,0,0,1.6,7,1,1.75,1,no
0,0,0.91786,23.6,0,0,2.375,8,0,5.25,1,no
0,0,1.73314775,22.8,0,0,2.275,6,1,3.25,1,no
0,0,0.75906625,14.6,0,0,1.45,4,0,4.25,1,no
0,0,1.28262375,21,0,0,2.1,7,1,4.75,1,no
0,0,2.1246025,31.8,0,0,3.175,1,0,4.5,1,no
0,0,0.539947,13.6,0,0,1.35,9,1,4.25,1,no
0,0,1.6654915,20.6,0,0,2.05,4,1,2.75,1,no
0,0,1.2909595,15.4,0,0,1.525,3,1,2.5,1,no
0,0,0.99093,30.3,0,0,3.05,10,0,4.5,1,no
0,0,0.8026945,20.55,0,0,2.05,6,1,5.75,1,no
0,0,1.356705,21.6,0,0,2.15,9,1,2.5,1,no
0,0,1.233183333,27.33333333,0,0,2.733333333,2,1,3.333333333,1,no
0,0,1.8201355,27.1,0,0,2.725,2,1,3.5,1,no
0,0,0.87527,22.3,0,0,2.25,4,1,6.5,1,no
0,0,2.5273595,27.3,0,0,2.7,9,1,1.5,1,no
0,0,1.831934,14.9,0,0,1.475,8,0,3,1,no
0,0,0.89299725,13.55,0,0,1.35,7,0,5,1,no
0,0,1.4842595,18.3,0,0,1.825,7,1,3.25,1,no
0,0,1.59500125,20.45,0,0,2.05,10,0,2.5,1,no
0,0,2.281007,27.6,0,0,2.725,10,0,1.5,1,no
0,0,0.72508825,17.8,0,0,1.8,8,1,3.5,1,no
0,0,0.85663875,19.2,0,0,1.925,7,0,4.75,1,no
0,0,1.9577975,35.65,0,0,3.575,8,0,4.5,1,no
0,0,1.2668647,21.05,0,0,2.1,6,1,4.5,1,no
0,0,1.10789025,19.35,0,0,1.95,8,0,2.75,1,no
0,0,1.459385,19.2,0,0,1.9,10,1,2.25,1,no
0,0,1.055205333,29.8,0,0,3,7,1,4.666666667,1,no
0,0,1.2306547,21,0,0,2.1,5,0,4.25,1,no
0,0,1.52838,22.6,0,0,2.25,8,0,2,1,no
0,0,1.46822625,19.15,0,0,1.95,9,1,4.5,1,no
0,0,1.2934665,24.25,0,0,2.4,8,1,3.5,1,no
0,0,3.0577625,44.7,0,0,4.475,7,1,2.5,1,no
0,0,2.8583875,30.6,0,0,3.025,7,0,1,1,no
0,0,1.25172075,22.7,0,0,2.275,7,1,4,1,no
0,0,2.298485,34.15,0,0,3.4,7,1,3.25,1,no
0,0,2.03405225,29.5,0,0,2.95,10,1,3.75,1,no
0,0.009119766,2.2490025,21,2.5,0,2.35,8,1,1.75,1,no
0,0,1.04597425,14.95,0,0,1.475,8,1,4.5,1,no
0,0,0.66597775,19.25,0,0,1.925,9,1,3.5,1,no
0,0,0.737753,17.9,0,0,1.8,8,1,6.25,1,no
0,0,2.180515,23.85,0,0,2.375,7,1,1.5,1,no
0,0,0.79536025,20.1,0,0,2.025,5,0,6,1,no
0,0,1.4603,29.8,0,0,3,7,0,2,2,no
0,0,0.180046,2,0,0,0.2,10,1,2,2,no
0,0,0.790063,25.2,0,0,2.5,5,1,2,2,no
0,0,1.7345,33,0,0,3.3,4,1,2,2,no
0,0,0.596605,9.2,0,0,0.9,1,1,6,2,no
0,0,0.425402,13.2,0,0,1.3,3,0,4,2,no
0,0,0.765525,18.6,0,0,1.85,8,0,2,2,no
0,0,2.2224,62.3,0,0,6.25,4,1,7.5,2,no
0,0,0.4026835,11.2,0,0,1.1,4,0,4,2,no
0,0,0.454488,11.33333333,0,0,1.133333333,8,1,3.333333333,2,no
