avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.161209539,0.17345277,1.34574725,16.05,14.3,20,5,6,0,4.25,1,no
0.342731066,0.159375779,1.3932135,12.3,12.525,29,5.375,1,0,3.25,1,no
0.186731871,0,1.471089,10.85,1.75,28.75,4.125,4,0,2.5,1,no
0.186731871,0,1.64789325,10.9,1.65,27.25,3.975,1,1,2.5,1,no
0.221434348,0.084126551,1.62718075,18.85,16.05,23.25,5.825,9,0,3.75,1,no
0.211273324,0.097964582,1.30657825,19.05,18.35,17.5,5.5,10,1,3.75,1,no
0.053833492,0.040666724,1.15115625,12.4,9.075,7.25,2.875,8,1,4,1,no
0.107902834,0.242963205,1.39697075,9.55,19.325,19.25,4.825,4,1,2.75,1,no
0.165294509,0.196283652,1.31484225,18.75,19.7,22,6.075,5,1,4,1,no
0.234728243,0.00491647,0.7189425,11.05,7.325,31,4.9,1,1,3,1,no
0.150087345,0.035416873,1.3707125,11,10.175,18.75,3.95,3,0,2,1,no
0.123855375,0,0.3884705,0.3,1.675,3,0.475,2,0,1,1,no
0.069223998,0.150210867,1.2784425,9.1,15.4,11,3.575,9,1,2.75,1,no
0.07058239,0.040666724,0.90471875,12.35,9.125,7.75,2.875,8,0,4,1,no
0.600476593,0,0.92018675,33.85,3.975,48.25,8.6,3,0,6,1,no
0.277549736,0.022040294,1.69640475,11.3,4.65,31.75,4.775,2,1,2.75,1,no
0.203937173,0.04725749,1.13012375,7.7,12.025,9.5,2.9,8,0,1.5,1,no
0.048792055,0.150210867,1.4901975,7.6,13.575,5.75,2.725,2,0,2.5,1,no
0.302715644,0.025498696,1.7091125,10.4,7.5,30.25,4.775,9,0,2.75,1,no
0.232232329,0.00491647,0.63951275,10.2,6.575,25.5,4.175,10,0,2.75,1,no
0.12932154,0.017824495,1.63410225,9.4,3.6,10.5,2.3,5,1,2,1,no
0.285802387,0.022040294,1.720709,11.3,4.95,33.75,4.975,5,0,2.75,1,no
0.062915181,0,2.0049885,13,4.45,15.75,3.325,1,0,2.25,1,no
0.113079559,0,2.0000725,9.6,0.625,7.5,1.725,4,0,2,1,no
0.553011373,0.2196387,1.52304075,29.3,18.05,52.75,10.025,8,0,5.75,1,no
0.600476593,0,0.83422925,33.85,3.625,47.25,8.475,8,0,6,1,no
0.751999974,0.109493092,1.000486,29.65,21.3,49.25,10.025,10,1,7,1,no
0.455926985,0.142743044,1.26784275,8.85,13,27,4.9,5,0,1.25,1,no
0.326347262,0,0.82138825,9.25,2.65,25.25,3.65,3,0,2.5,1,no
0.072685793,0,1.91994825,9.65,0.275,4.75,1.475,1,0,2,1,no
0.374641091,0.407657012,0.61687425,27.3,23.275,24.5,7.5,10,0,5.5,1,no
0.349583815,0.046602798,1.3345485,17.45,11.3,37.25,6.6,6,1,4,1,no
0.475235905,0.198277783,1.10137975,8.6,17.725,28.5,5.5,5,0,1.25,1,no
0.055728204,0,2.0350785,5.45,4,12,2.1,5,1,1.5,1,no
0.333235183,0.021078076,1.44047275,10.6,4.575,25.5,4.05,8,1,2.25,1,no
0.482828341,0.25517273,1.1780615,22.95,13.325,41.25,7.75,10,0,5.5,1,no
