avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.031747065,0,0.71508775,20.75,1.375,13,3.525,1,0,3.75,0,no
0,0.098355744,1.588129,5.8,12.45,5.5,2.35,7,0,2.5,0,no
0,0.091916233,0.93844875,18.85,11.025,1,3.1,9,0,1.25,0,no
0.014475917,0,0.93844875,19.2,0.2,6.5,2.6,9,0,1.5,0,no
0.024327504,0.10143692,0.840412,7.75,11.625,6,2.55,9,0,1.25,0,no
0,0.129706198,0.67232175,12.2,8.625,1,2.175,9,1,3.25,0,no
0,0,2.277649,16.35,0.4,1.5,1.825,7,1,2.25,0,no
0.013440256,0.025817012,0.85266925,26.9,9.025,0.75,3.7,9,0,5.25,0,no
0.13665775,0,1.181716,22,1.775,21.75,4.525,9,0,3.25,0,no
0,0,0.66670625,19.15,0.175,0,1.925,10,0,6,0,no
0.014360198,0.029861433,0.9953815,10.1,5.825,2.5,1.875,8,1,1.25,0,no
0.061976497,0.034147501,1.59511,31.65,12.25,19.5,6.375,4,0,5.5,0,no
0,0.027013095,1.7737225,8.95,10.35,3.5,2.275,10,1,2.75,0,no
0.034070523,0.006412035,1.53220575,32.45,3.05,8.75,4.425,8,0,5.5,0,no
