Understat_ID, FPL_ID, Understat_Name, FPL_Name,
9733,451,Nathan Collins,Nathan Collins,
785,452,,,
614,453,Fernandinho,Fernando Luiz Rosa,
9738,455,Patson Daka,Patson Daka,
1707,456,Ben Gibson,Ben Gibson,
9745,457,Dimitris Giannoulis,Dimitris Giannoulis,
6310,458,Boubakary Soumare,Boubakary Soumaré,
554,459,,,
6500,460,Romain Perraud,Romain Perraud,
8934,461,Trincão,Francisco Machado Mota de Castro Trincão,
9734,462,Enock Mwepu,Enock Mwepu,
6485,463,Júnior Firpo,Héctor Junior Firpo Adames,
9948,464,Michael Olise,Michael Olise,
708,465,Federico Fernández,Federico Fernández,
9691,466,Nuno Tavares,Nuno Varela Tavares,
6538,467,Oghenekaro Etebo,Oghenekaro Peter Etebo,
465,468,Joshua King,Joshua King,
6674,470,Rayan Ait Nouri,Rayan Ait Nouri,
5619,471,Pierre Lees-Melou,Pierre Lees-Melou,
6954,472,Juan Camilo Hernández,Juan Camilo Hernández Suárez,
835,473,Ryan Bertrand,Ryan Bertrand,
510,474,Joel Ward,Joel Ward,
9740,475,José Sá,José Malheiro de Sá,
7603,477,Marc Guehi,Marc Guéhi,
9689,478,Albert Sambi Lokonga,Albert Sambi Lokonga,
9681,479,Frank Onyeka,Frank Onyeka,
509,480,,,
694,481,Asmir Begovic,Asmir Begović,
775,482,Andros Townsend,Andros Townsend,
9677,483,Kristoffer Ajer,Kristoffer Ajer,
762,484,Demarai Gray,Demarai Gray,
6345,485,Jadon Sancho,Jadon Sancho,
1841,486,,,
7338,487,Bryan Gil Salvatierra,Bryan Gil Salvatierra,
6314,488,Joachim Andersen,Joachim Andersen,
2310,489,,,
9512,491,Valentino Livramento,Tino Livramento,
5221,492,Leon Bailey,Leon Bailey,
603,493,,,
7218,494,Cristian Romero,Cristian Romero,
1123,495,Juraj Kucka,Juraj Kucka,
9415,497,Jaden Philogene-Bidace,Jaden Philogene-Bidace,
9915,498,,,
9914,499,Shandon Baptiste,Shandon Baptiste,
5648,501,,,
1084,502,Jonjoe Kenny,Jonjoe Kenny,
8150,503,Anthony Gordon,Anthony Gordon,
4764,504,,,
9739,505,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,
7546,506,Harvey Elliott,Harvey Elliott,
8497,507,Cole Palmer,Cole Palmer,
7281,510,Diogo Dalot,José Diogo Dalot Teixeira,
9524,512,,,
852,513,Freddie Woodman,Freddie Woodman,
9747,515,Bali Mumba,Bali Mumba,
7295,516,Joshua Sargent,Joshua Sargent,
6894,517,Mohamed Elyounoussi,Mohamed Elyounoussi,
8384,518,Armando Broja,Armando Broja,
839,519,Shane Long,Shane Long,
5786,524,Yoane Wissa,Yoane Wissa,
4419,525,Adam Armstrong,Adam Armstrong,
9356,526,Carney Chukwuemeka,Carney Chukwuemeka,
6615,527,Trevoh Chalobah,Trevoh Chalobah,
9746,528,Christos Tzolis,Christos Tzolis,
594,529,Romelu Lukaku,Romelu Lukaku,
9690,530,Folarin Balogun,Folarin Balogun,
6492,531,Reiss Nelson,Reiss Nelson,
9735,537,Taylor Richards,Taylor Richards,
7430,539,Emerson,Emerson Palmieri dos Santos,
9461,541,Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,
8476,544,,,
7280,546,,,
8179,547,,,
9493,550,,,
9492,551,Crysencio Summerville,Crysencio Summerville,
1711,552,,,
2245,555,Raphael Varane,Raphaël Varane,
5191,556,,,
9957,557,Ozan Tufan,Ozan Tufan,
2517,558,Martin Odegaard,Martin Ødegaard,
5603,559,Aaron Ramsdale,Aaron Ramsdale,
9499,562,,,
9220,563,Charlie Cresswell,Charlie Cresswell,
1304,564,Moise Kean,Moise Kean,
9912,568,Cameron Archer,Cameron Archer,
9916,569,,,
593,575,Aaron Lennon,Aaron Lennon,
9933,576,,,
9339,577,,,
3278,578,Maxwel Cornet,Maxwel Cornet,
2371,579,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,
7376,580,Ozan Kabak,Ozan Kabak,
7470,581,Mathias Normann,Mathias Normann,
6276,582,Nikola Vlasic,Nikola Vlasic,
8845,583,Hee-Chan Hwang,Hee-Chan Hwang,
7134,584,Marc Cucurella,Marc Cucurella,
5568,585,,,
3697,586,Odsonne Edouard,Odsonne Edouard,
5556,587,Ademola Lookman,Ademola Lookman,
8017,589,,,
7931,590,Takehiro Tomiyasu,Takehiro Tomiyasu,
813,591,Salomón Rondón,Salomón Rondón,
2266,592,Saúl Ñíguez,Saúl Ñíguez,
6030,594,Zanka,Mathias Jorgensen,
6542,595,,,
10001,601,,,
8582,602,,,
10027,607,Lewis Dobbin,Lewis Dobbin,
10028,608,,,
10036,612,,,
10061,617,,,
10091,620,,,
6477,622,,,
8544,624,,,
10118,625,,,
10126,629,,,
