name,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form
João Pedro Cavaco Cancelo,0.1414693754632026,0.060959320049732924,0.60850925,17.85,15.874999999999998,24.5,5.824999999999999,7,1,5.0
Ederson Santana de Moraes,0.0,0.0,0.60850925,18.700000000000003,0.0,0.0,1.9,7,1,5.25
Nathan Aké,0.16670749755576253,0.1543188989162445,0.60850925,6.15,5.625,2.75,1.45,7,1,1.5
Aymeric Laporte,0.14726121351122856,0.0,0.60850925,20.35,2.275,7.5,3.0,7,1,5.75
Zack Steffen,0.0,0.0,0.60850925,0.0,0.0,0.0,0.0,7,1,0.0
Bernardo Mota Veiga de Carvalho e Silva,0.051437347661703825,0.1361447013914585,0.60850925,12.549999999999999,31.575,19.25,6.375,7,1,2.75
Rúben Santos Gato Alves Dias,0.09875067695975304,0.16674647480249405,0.60850925,13.850000000000001,9.375,7.0,3.025,7,1,4.5
Oleksandr Zinchenko,0.014320841990411282,0.11646073684096336,0.60850925,3.9,8.675,1.5,1.4,7,1,1.5
Phil Foden,0.30092283710837364,0.21213489770889282,0.60850925,16.1,25.525000000000002,37.5,7.9,7,1,4.0
Rodrigo Hernandez,0.15542125748470426,0.04092800850048661,0.60850925,10.65,12.075,10.75,3.3499999999999996,7,1,2.0
Fernando Luiz Rosa,0.1952860075980425,0.18592448299750686,0.60850925,3.95,4.375,3.5,1.175,7,1,0.75
Samuel Edozie,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0
Scott Carson,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0
Luke Mbete,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0
Joshua Wilson-Esbrand,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0
Romeo Lavia,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0
Cieran Slicker,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0
James McAtee,0.0443243607878685,0.0,0.60850925,0.0,0.05,0.0,0.0,7,1,0.25
Conrad Egan-Riley,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0
Kayky da Silva Chagas,FAIL,FAIL,FAIL,0.0,0.075,0.0,0.0,7,1,0.25
